Date,DocumentWeight,Amount Awarded,Identifier,Topic
2017,0.890791711199,270144.0,33,topic10
2018,0.0,0.0,0,topic10
1998,0.0,0.0,0,topic11
1999,0.0,0.0,0,topic11
2000,0.0,0.0,0,topic11
2001,0.0,0.0,0,topic11
2002,0.0,0.0,0,topic11
2003,0.0,0.0,0,topic11
2004,1.55568000265,425779.0,66,topic11
2005,2.69446473654,779126.0,109,topic11
2006,2.6799472158,944738.0,108,topic11
2007,2.32642847326,662623.0,92,topic11
2008,1.18999384041,382125.0,48,topic11
2009,0.854082288323,209542.0,36,topic11
2010,0.581804820765,273379.0,23,topic11
2011,0.894031268949,251230.0,37,topic11
2012,1.23734938385,1178044.19,52,topic11
2013,1.73463608615,852049.52,72,topic11
2014,1.61211224317,589373.22,57,topic11
2015,2.23397450435,747268.0,88,topic11
2016,2.04988859696,997661.0,87,topic11
2017,1.44006215385,3916561.0,60,topic11
2018,0.0,0.0,0,topic11
1998,0.0,0.0,0,topic12
1999,0.0,0.0,0,topic12
2000,0.0,0.0,0,topic12
2001,0.0,0.0,0,topic12
2002,0.0,0.0,0,topic12
2003,0.0,0.0,0,topic12
2004,0.857965798669,2418427.0,35,topic12
2005,1.62770605059,3388528.0,67,topic12
2006,1.58575460186,1648355.0,67,topic12
2007,1.12647422857,5137129.0,45,topic12
2008,0.862818339341,3537695.0,36,topic12
2009,0.660936966062,1881057.0,28,topic12
2010,0.934434341322,2537238.0,39,topic12
2011,0.957894259708,4151880.0,40,topic12
2012,0.83619328652,2737380.99,35,topic12
2013,1.06328391998,2899932.37,42,topic12
2014,1.7419590658,41636239.78,59,topic12
2015,1.93397801693,4638153.28,77,topic12
2016,1.4929912381,1664620.0,59,topic12
2017,1.0338503551,1911559.0,43,topic12
2018,0.0,0.0,0,topic12
1998,0.0,0.0,0,topic13
1999,0.0,0.0,0,topic13
2000,0.0,0.0,0,topic13
2001,0.0,0.0,0,topic13
2002,0.0,0.0,0,topic13
2003,0.0,0.0,0,topic13
2004,0.706514855483,5545061.0,21,topic13
2005,0.881979390071,1470094.0,25,topic13
2006,1.6800186747,1115217.0,45,topic13
2007,1.89759133868,3730384.0,53,topic13
2008,0.978571603998,2127821.0,28,topic13
2009,0.692442587271,231545.0,19,topic13
2010,0.665952446359,529540.0,19,topic13
2011,0.688635052833,653356.0,20,topic13
2012,0.517022390751,951434.0,15,topic13
2013,0.759773898738,173011.43,20,topic13
2014,4.49655877842,58988981.84,104,topic13
2015,2.19974109035,2695707.5,52,topic13
2016,1.68642435281,5164682.0,42,topic13
2017,0.79684623594,1956203.0,21,topic13
2018,0.0,0.0,0,topic13
1998,0.0,0.0,0,topic14
1999,0.0,0.0,0,topic14
2000,0.0,0.0,0,topic14
2001,0.0,0.0,0,topic14
2002,0.0,0.0,0,topic14
2003,0.0,0.0,0,topic14
2004,1.90519895057,400806.0,93,topic14
