Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0030044313,to run workshops and to hire recording studios,This new group will publicise and run open music workshops and sessions for local people throughout the year. A local recording studio will also be hired to enable people to make a recording of the music they have created.,2006-04-26,3800.0,360G-blf,The Big Lottery Fund,0.0212258115063
360G-blf-0030008608,ARCH (Art in Churches),"This community group will hold a month-long public art event to reform eight medieval churches, accompanied by educational workshops and live music recitals based on the history of the local area.",2007-02-20,8959.0,360G-blf,The Big Lottery Fund,0.0212231066052
360G-blf-0030008517,Carnival!,"This group promotes drama and the arts. The project is to run workshop sessions for young people to create and research carnival arts. The award will fund the preparation and design of costumes, dance and music ready for the local carnival.",2006-12-18,5350.0,360G-blf,The Big Lottery Fund,0.0212211301949
360G-blf-0030010528,Chinese Arts Association,"This organisation will run a Dragon Boat Festival to promote Chinese art and culture. It will involve 300 local children making two sets of dragon heads and tails, twenty teams competing on the river and workshops and artistic performances on the day of the festival.",2007-06-19,6100.0,360G-blf,The Big Lottery Fund,0.0212190122123
360G-blf-AHF_1_010164874,Celebration Events,"A project to commemorate the 60th anniversary of the end of WW2 with the provision of day of celebration, exhibition of wartime photographs and music for the benefit of members of this community based in Perry Common, Birmingham.",2005-07-29,1434.0,360G-blf,The Big Lottery Fund,0.0212085542909
360G-blf-AHF_1_010153558,VE Day Celebration,"Chediston and Linstead Parish Council will use a grant to organise a day of events designed to both celebrate and commemorate the 60th Anniversary of the end of WW2. The events will bring together a cross-generational crowd in an environment that is conducive to educating a new generation of what it was like to live through the War. This will include a display of military vehicles/artefacts, an exhibition of photographs and memories contributed by local people and a band providing period music.",2005-05-12,8195.0,360G-blf,The Big Lottery Fund,0.0211925484682
360G-blf-AHF_1_010167581,WW2 Open Day,Halesworth Town Council will use their award to hold events to commemorate the 60th anniversary of the end of the Second World War. These events will involve a military museum open day and beating of retreat celebration with a veteran's reception.,2005-07-08,2000.0,360G-blf,The Big Lottery Fund,0.0211874068465
360G-blf-A4E_3_010129182,Newhaven Fish Festival,"This group will organise a Fish Festival for the people of Newhaven.  They will be able to explore the maritime heritage and fishing traditions of the town through arts and craft workshops and exhibitions.  The event will also serve to encourage the community to become involved in local voluntary groups with a Lottery award paying for equipment hire, publicity and arts and craft materials.",2004-08-20,3515.0,360G-blf,The Big Lottery Fund,0.0211645554452
360G-blf-0030022622,Creative Arts Week,"This school will use an award to run a creative arts week, which will give pupils the opportunity to try a variety of art activities outside of the normal curriculum. The project will take place during the school day to ensure all pupils can participate, and will provide a range of activities including dance, music and drama workshops, which will be led by trained arts practitioners.  The project aims to enrich the children's experience of the arts, stimulate interest and develop their skills.",2008-11-12,1758.0,360G-blf,The Big Lottery Fund,0.0211628725283
360G-blf-0030031025,Radiator festival,"The groups offers regular, accessible events for artists working with new media in Nottingham and throughout the East Midlands. The project is to run several community orientated events as part of the Radiator Festival in November/December 2005. These will include workshops, an event for people with disabilities, a celebration of the history of digital arts, a games based session and a platform for live streamed work. The award is for an events programme, overheads, marketing and publicity.",2005-11-11,4490.0,360G-blf,The Big Lottery Fund,0.0211544612395
360G-blf-0030113128,Creative Connections,"The 'Creative Connections' project will use the grant to run a community arts and culture event for families.  A series of events will be run and will include a Jazz festival, community and family music event, arts, crafts, storytelling and Charlie & the Chocolate Factory and Winter Wonderland events. A local artist will work with staff, volunteers, children and families to design and create the activities.",2013-02-22,9750.0,360G-blf,The Big Lottery Fund,0.0211539421821
360G-blf-AHF_1_010167980,WW2 re-union event,"The Normandy Veteran's Association, Highlands and Islands Branch, will use an award to hold a re-union dinner with wartime music, to celebrate the 60th anniversary of the end of WW2.",2005-08-05,1980.0,360G-blf,The Big Lottery Fund,0.0211478727091
360G-blf-A4E_3_010158511,Arts festival,"A community arts festival will be organised for the Autumn with arts workshops, participatory activities, artists 'open studios' and exhibitions.",2005-05-19,4500.0,360G-blf,The Big Lottery Fund,0.0211280655731
360G-blf-0030114463,Feel Good Factor,"Acorn will run an event for individuals affected by mental health living in Neath Port Talbot, including carers. This project meets the Awards for All aim of 'improving the quality of life'. The grant for £4,983.35 will fund venue hire, buffet, community transport, dragon arts workshops, self clinical hypnotherapy workshops, Bowen techniques workshops, meditation and yoga workshops, two massage therapists, art project workshops and art materials. ",2013-07-18,4984.0,360G-blf,The Big Lottery Fund,0.0211208115523
