,index,topic0,topic1,topic10,topic11,topic12,topic13,topic14,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
74,2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2004-03-01,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2004-04-01,18865.0,46802.0,11281.0,16742.0,0.0,0.0,12908.0,567794.0,0.0,0.0,12000.0,9848.0,0.0,0.0,0.0
80,2004-05-01,34640.0,1225.0,15763.0,12690.0,0.0,5000.0,38078.0,284329.0,0.0,0.0,9500.0,0.0,55000.0,5000.0,0.0
81,2004-06-01,9975.0,0.0,4944.0,16443.0,14786.0,0.0,40174.0,827351.0,0.0,0.0,1055.0,840.0,5000.0,190659.0,5000.0
82,2004-07-01,3500.0,39578.0,9639.0,2323.0,549956.0,4720.0,35530.0,677208.0,0.0,0.0,79532.0,10517.0,5000.0,0.0,652.0
83,2004-08-01,19950.0,0.0,11570.0,9986.0,2300.0,0.0,22415.0,85025.0,0.0,0.0,15000.0,0.0,2000.0,0.0,0.0
84,2004-09-01,60881.0,0.0,18689.0,3395.0,41023.0,0.0,14962.0,507213.0,0.0,0.0,54507.0,1600.0,0.0,0.0,0.0
85,2004-10-01,82875.0,0.0,2000.0,8034.0,126015.0,0.0,10945.0,9980.0,0.0,0.0,10000.0,0.0,2715.0,54150.0,0.0
86,2004-11-01,129646.0,470506.0,4112.0,11652.0,241855.0,3757.0,26115.0,120654.0,0.0,0.0,0.0,53634.0,0.0,0.0,99350.0
87,2004-12-01,80424.0,6315.0,0.0,5168.0,3500.0,1005085.0,18605.0,515019.0,0.0,0.0,8142.0,5005.0,0.0,0.0,4200.0
88,2005-01-01,120566.0,469800.0,6938.0,12010.0,18540.0,0.0,23193.0,4160.0,5000.0,0.0,14902.0,3000.0,91000.0,2286.0,0.0
89,2005-02-01,136077.0,10130.0,58477.0,1875.0,234403.0,26500.0,28755.0,192475.0,15262.0,0.0,9876.0,3790.0,0.0,7500.0,0.0
90,2005-03-01,77640.0,273219.0,16578.0,14190.0,187980.0,0.0,59055.0,5017.0,0.0,0.0,6329.0,251078.0,0.0,0.0,465968.0
91,2005-04-01,61705.0,24628.0,43167.0,18325.0,10000.0,0.0,149154.0,0.0,0.0,0.0,3500.0,0.0,10000.0,0.0,0.0
92,2005-05-01,79598.0,34980.0,3994.0,7138.0,253690.0,275000.0,116497.0,8550.0,0.0,0.0,8500.0,15000.0,0.0,2000.0,0.0
93,2005-06-01,13050.0,170095.0,500.0,8387.0,0.0,4149.0,85030.0,1000.0,0.0,0.0,11870.0,9556.0,0.0,0.0,13579.0
94,2005-07-01,11862.0,192962.0,235002.0,5848.0,500.0,115875.0,216927.0,500.0,0.0,0.0,35550.0,5000.0,141595.0,3000.0,247742.0
95,2005-08-01,31760.0,26728.0,10000.0,7983.0,0.0,93750.0,95179.0,0.0,0.0,0.0,10563.0,9880.0,0.0,0.0,0.0
96,2005-09-01,14805.0,67038.0,15555.0,152198.0,225858.0,96602.0,15821.0,4782.0,1008.0,0.0,19477.0,8577.0,34007.0,0.0,355293.0
97,2005-10-01,7725.0,120906.0,31181.0,32096.0,6144.0,25000.0,10885.0,0.0,1204.0,0.0,12990.0,2000.0,51000.0,20500.0,0.0
98,2005-11-01,27380.0,634835.0,94375.0,18408.0,290070.0,0.0,40693.0,96870.0,0.0,0.0,10000.0,6200.0,5000.0,0.0,183907.0
99,2005-12-01,10470.0,262740.0,22845.0,14936.0,5000.0,0.0,29094.0,4995.0,0.0,0.0,960.0,10000.0,10000.0,5000.0,60375.0
100,2006-01-01,6125.0,372972.0,245443.0,6695.0,743699.0,780.0,48048.0,4771.0,0.0,0.0,19271.0,11046.0,26432.0,0.0,164265.0
101,2006-02-01,3325.0,8500.0,77823.0,12482.0,13346.0,8000.0,55072.0,51552.0,0.0,0.0,28090.0,5000.0,19027.0,10000.0,0.0
102,2006-03-01,4025.0,313243.0,59434.0,255153.0,11929.0,23417.0,84144.0,45191.0,6255.0,0.0,17436.0,16806.0,53660.0,0.0,4840.0
103,2006-04-01,0.0,85585.0,12844.0,5225.0,9373.0,0.0,30992.0,14907.0,0.0,0.0,9954.0,7100.0,4700.0,0.0,0.0
104,2006-05-01,0.0,14778.0,11907.0,174423.0,7287.0,31500.0,38450.0,48570.0,30000.0,0.0,10000.0,5000.0,8866.0,0.0,3829.0
105,2006-06-01,0.0,138853.0,67074.0,16702.0,9940.0,13129.4,14400.0,8970.0,4943.0,0.0,19539.0,5565.0,5000.0,0.0,0.0
106,2006-07-01,0.0,318696.0,21390.0,10117.0,2000.0,14361.0,26190.0,5790.0,0.0,0.0,10717.0,14599.0,11667.0,53043.0,5020.0
107,2006-08-01,0.0,322857.0,15508.0,9553.0,5000.0,0.0,54181.0,23514.0,7000.0,0.0,10413.0,5788.0,36301.0,0.0,202925.0
108,2006-09-01,0.0,125175.0,0.0,22277.0,8020.0,0.0,22075.0,19085.0,0.0,0.0,36061.0,6252.0,16170.0,0.0,10744.0
109,2006-10-01,0.0,549427.0,16805.0,25051.0,17000.0,533087.0,10000.0,18630.0,0.0,0.0,5000.0,10500.0,31071.0,6500.0,0.0
